Lep Name,Lep Url
Acrolophus arcanella,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Acrolophus_arcanella_%E2%80%93_Grass_Tubeworm_Moth_%2814438218702%29.jpg/302px-Acrolophus_arcanella_%E2%80%93_Grass_Tubeworm_Moth_%2814438218702%29.jpg
Acrolophus numidia,None
Acrolophus plumifrontella,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Acrolophus_plumifrontella_-_Eastern_Grass_Tubeworm_Moth-EasternGrass-tubewormMoth2013-06-16b_zps4f332608_%2816053873762%29.jpg/222px-Acrolophus_plumifrontella_-_Eastern_Grass_Tubeworm_Moth-EasternGrass-tubewormMoth2013-06-16b_zps4f332608_%2816053873762%29.jpg
Acrolophus popeanella,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Acrolophus_popeanella_%E2%80%93_Clemens%27_Grass_Tubeworm_Moth_%2814652316834%29.jpg/241px-Acrolophus_popeanella_%E2%80%93_Clemens%27_Grass_Tubeworm_Moth_%2814652316834%29.jpg
Acrolophus sp.,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Acrolophus_sp._%2829512554074%29.jpg/120px-Acrolophus_sp._%2829512554074%29.jpg
Adela croesella,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Adela_croesella.jpg/256px-Adela_croesella.jpg
Adela violella,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Adela_violella.JPG/143px-Adela_violella.JPG
Chalceopla sedella,None
Nemophora cupriacella,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Nemophora_cupriacella.jpg/242px-Nemophora_cupriacella.jpg
Nemophora fasciella,https://upload.wikimedia.org/wikipedia/commons/8/8d/Nemophora_fasciella.JPG
Nemophora scabiosella,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Nemophora_scabiosella_._Adelidae_-_Flickr_-_gailhampshire.jpg/185px-Nemophora_scabiosella_._Adelidae_-_Flickr_-_gailhampshire.jpg
Nemophora violellus,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Nemophora_violellus_BE-MK-7-321a.jpg/240px-Nemophora_violellus_BE-MK-7-321a.jpg
Agathiphaga queenslandensis,None
Blastodacna curvilineella,None
Anthela asciscens,None
Anthela denticulata,None
Anthela ekeikei,None
Anthela euryphrica,None
Anthela ferruginosa,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Anthela_ferruginosa.jpg/240px-Anthela_ferruginosa.jpg
Anthela magnifica,None
Anthela nicothoe,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Anthela_nicothoe.jpg/240px-Anthela_nicothoe.jpg
Anthela xantharca,None
Chelepteryx chalepteryx,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Chelepteryx_chalepteryx_NovaraExpZoologischeTheilLepidopteraAtlasTaf98_-_Copy.jpg/289px-Chelepteryx_chalepteryx_NovaraExpZoologischeTheilLepidopteraAtlasTaf98_-_Copy.jpg
Chelepteryx collesi,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Chelepteryx.collesi.jpg/270px-Chelepteryx.collesi.jpg
Munychryia senicula,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Munychryia_senicula_%2812210006313%29.jpg/240px-Munychryia_senicula_%2812210006313%29.jpg
Pterolocera amplicornis,None
Pterolocera isogama,None
Apatelodes pandarioides,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Apatelodes_pandarioides_%286972238770%29.jpg/172px-Apatelodes_pandarioides_%286972238770%29.jpg
Acantharctia flavicosta,None
Amata,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Amata9322.jpg/271px-Amata9322.jpg
Amata cyssea,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Amata_moth_%40_Thrippunithura_01.jpg/311px-Amata_moth_%40_Thrippunithura_01.jpg
Amata fortunei,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Amata_fortunei.JPG/217px-Amata_fortunei.JPG
Amata hissarica,None
Amata perixanthia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Amata_perixanthia.jpg/234px-Amata_perixanthia.jpg
Amata phegea,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Amata-phegea-couple.jpg/135px-Amata-phegea-couple.jpg
Amerila atrivena,None
Amerila carneola,None
Amerila leucoptera,None
Amerila luteibarba,None
Ammalo trujillaria,None
Amphicallia solai,None
Amphicallia thelwalli,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Amphicallia_thelwalli2.JPG/220px-Amphicallia_thelwalli2.JPG
Amsacta moloneyi,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/04-Areas_moloneyi%3DAloa_moloneyi_%28Druce%2C_1887%29.JPG/345px-04-Areas_moloneyi%3DAloa_moloneyi_%28Druce%2C_1887%29.JPG
Asura semifascia,None
Asura vivida,None
Asuridia metaphaea,None
Asuridia ridibunda,None
Automolis meteus,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/CramerAndStoll-uitlandsche_kapellen_vol._4-_pl_347.jpg/132px-CramerAndStoll-uitlandsche_kapellen_vol._4-_pl_347.jpg
Axiopoena maura,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Axiopoena_maura.jpg/326px-Axiopoena_maura.jpg
Azatrephes paradisea,None
Belemnia ochriplaga,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Catalogue_of_the_Lepidoptera_Phal%C3%A6n%C3%A6_in_the_British_museum_%281898%29_%2814766148321%29.jpg/101px-Catalogue_of_the_Lepidoptera_Phal%C3%A6n%C3%A6_in_the_British_museum_%281898%29_%2814766148321%29.jpg
Bertholdia steinbachi,None
Borearctia menetriesii,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Borearctia_menetriesi_O.Korsun.jpg/265px-Borearctia_menetriesi_O.Korsun.jpg
Calidota laqueata,None
Callimorpha dominula,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Scarlet_tiger_moth_%28Callimorpha_dominula%29_underside.jpg/270px-Scarlet_tiger_moth_%28Callimorpha_dominula%29_underside.jpg
Callimorpha plagiata,None
